Transcript_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g10275.t1	0	0	0	0	0	0	2	2
g10276.t1	0	0	0	0	2	0	4	4
g10277.t1	8	4	4	4	0	12	0	0
g10278.t1	77	65	70	70	72	82	90	90
g10279.t1	9	0	5	5	0	0	0	0
g1028.t1	2	5	5	5	0	2	0	0
g10280.t1	0	0	0	0	0	0	0	0
g10281.t1	4	0	0	0	2	0	0	0
g10282.t1	7	6	0	0	8	7	13	13
g10283.t1	0	0	0	0	0	0	0	0
g10283.t2	0	0	0	0	0	0	0	0
g10284.t1	0	0	2	2	2	4	0	0
g10285.t1	0	0	0	0	0	0	3	3
g10286.t1	16	32	14	14	21	15	15	15
g10287.t1	0	0	0	0	0	0	0	0
g10288.t1	12	8	8	8	9	8	8	8
g10289.t1	24	20	12	12	11	38	11	11
g1029.t1	0	0	0	0	4	0	0	0
g10290.t1	0	0	0	0	0	0	0	0
g10291.t1	0	0	0	0	0	0	0	0
g10292.t1	0	0	0	0	0	0	0	0
g10293.t1	0	0	0	0	0	0	0	0
g10294.t1	0	0	0	0	0	0	0	0
g10295.t1	0	0	0	0	0	4	0	0
g10296.t1	4	2	3	3	0	0	6	6
g10297.t1	0	0	0	0	0	0	0	0
g10298.t1	0	0	0	0	3	2	0	0
g10299.t1	0	0	0	0	0	0	0	0
g103.t1	5	0	0	0	0	0	0	0
g1030.t1	2	0	0	0	0	0	0	0
g1030.t2	1	0	0	0	0	0	0	0
g10300.t1	0	16	0	0	4	5	0	0
g10300.t2	18	10	25	25	12	20	23	23
g10301.t1	5	15	10	10	16	6	14	14
g10302.t1	0	0	0	0	0	0	0	0
g10303.t1	0	0	0	0	0	0	0	0
g10304.t1	0	0	0	0	0	0	0	0
g10305.t1	0	0	0	0	0	0	0	0
g10306.t1	0	0	0	0	0	0	0	0
g10306.t2	0	0	0	0	0	0	0	0
g10307.t1	0	0	0	0	0	0	0	0
g10308.t1	0	0	0	0	0	0	0	0
g10309.t1	0	0	0	0	0	0	0	0
g1031.t1	0	0	0	0	0	0	0	0
g10310.t1	0	0	0	0	0	0	0	0
g10311.t1	3	0	0	0	3	0	3	3
g10312.t1	0	0	0	0	0	0	0	0
g10313.t1	0	0	0	0	0	0	0	0
g10314.t1	0	0	0	0	0	0	0	0
g10315.t1	0	0	0	0	0	0	0	0
g10316.t1	0	0	0	0	0	0	0	0
g10317.t1	0	0	0	0	0	0	0	0
g10318.t1	0	0	0	0	0	0	0	0
g10318.t2	0	0	0	0	0	0	0	0
g10319.t1	0	0	0	0	0	0	0	0
g1032.t1	0	0	0	0	8	5	6	6
g10320.t1	0	0	0	0	0	0	0	0
g10321.t1	0	0	0	0	0	0	0	0
g10322.t1	0	0	0	0	0	0	0	0
g10323.t1	0	0	0	0	0	0	0	0
g10324.t1	0	0	0	0	0	0	0	0
g10325.t1	0	0	0	0	0	0	0	0
g10326.t1	0	0	0	0	0	0	0	0
g10327.t1	0	0	0	0	0	0	0	0
g10328.t1	0	0	0	0	0	0	0	0
g10329.t1	0	0	0	0	0	0	0	0
g1033.t1	0	0	0	0	2	0	0	0
g10330.t1	0	0	0	0	0	0	0	0
g10331.t1	0	0	0	0	0	0	0	0
g10332.t1	0	0	0	0	0	0	0	0
g10333.t1	0	0	0	0	0	0	0	0
g10334.t1	0	0	0	0	0	0	0	0
g10335.t1	0	0	0	0	0	0	0	0
g10336.t1	0	0	0	0	0	0	0	0
g10337.t1	0	0	0	0	0	0	0	0
g10338.t1	0	0	0	0	0	0	0	0
g10339.t1	0	0	0	0	0	0	0	0
g1034.t1	26	12	12	12	8	7	10	10
g10340.t1	0	0	0	0	0	0	0	0
g10341.t1	0	0	0	0	0	0	0	0
g10342.t1	0	0	0	0	0	0	0	0
g10343.t1	0	0	0	0	0	0	0	0
g10344.t1	0	0	0	0	0	0	0	0
g10345.t1	0	0	0	0	0	0	0	0
g10346.t1	0	0	0	0	0	0	0	0
g10347.t1	0	0	0	0	0	0	0	0
g10348.t1	0	0	0	0	0	0	0	0
g10349.t1	0	0	0	0	0	0	0	0
g1035.t1	1086	1276	1404	1404	1161	1240	1284	1284
g10350.t1	0	0	0	0	0	0	0	0
g10351.t1	0	0	0	0	0	0	0	0
g10352.t1	0	0	0	0	0	0	0	0
g10353.t1	0	0	0	0	0	0	0	0
g10354.t1	0	0	0	0	0	0	0	0
g10355.t1	1	1	1	1	1	1	1	1
g10355.t2	19	8	9	9	17	14	7	7
g10356.t1	0	3	0	0	2	0	0	0
g10357.t1	5	2	0	0	0	2	0	0
g10358.t1	0	9	1	1	3	2	0	0
g10359.t1	39	29	30	30	10	22	21	21
g1036.t1	190	187	160	160	130	123	160	160
g10360.t1	0	0	2	2	0	0	0	0
g10361.t1	0	0	0	0	0	0	0	0
g10362.t1	0	0	0	0	0	0	0	0
g10363.t1	7	0	0	0	4	4	3	3
g10364.t1	16	24	37	37	45	19	13	13
g10365.t1	0	0	3	3	5	9	0	0
g10366.t1	11	4	0	0	0	0	3	3
g10367.t1	0	0	0	0	0	0	0	0
g10368.t1	106	126	87	87	143	119	85	85
g10369.t1	21	20	26	26	18	25	22	22
g10369.t2	0	0	0	0	8	7	0	0
g1037.t1	94	73	85	85	81	73	100	100
g10370.t1	30	26	16	16	8	25	12	12
g10371.t1	0	2	0	0	10	2	7	7
g10372.t1	0	0	0	0	0	0	0	0
g10373.t1	0	0	0	0	0	0	0	0
g10374.t1	0	0	0	0	0	0	0	0
g10375.t1	0	0	0	0	0	0	0	0
g10376.t1	0	0	0	0	0	0	0	0
g10377.t1	0	0	0	0	0	0	0	0
g10378.t1	0	0	0	0	0	0	0	0
g10379.t1	0	0	0	0	0	0	0	0
g1038.t1	30	30	34	34	26	29	27	27
g10380.t1	0	0	0	0	0	0	0	0
g10381.t1	0	0	0	0	0	0	0	0
g10382.t1	0	0	0	0	0	0	0	0
g10383.t1	0	0	0	0	0	0	0	0
