Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g6062	0	0	0	0	0	0	0	0
g6063	0	2	4	4	2	0	0	0
g6064	0	0	1	1	2	0	5	5
g6065	0	0	0	0	0	0	0	0
g6066	0	0	0	0	0	0	0	0
g6067	0	0	0	0	0	0	0	0
g6068	12	8	7	7	0	15	8	8
g6069	2	0	0	0	0	0	0	0
g607	0	0	0	0	0	0	0	0
g6070	5	7	5	5	4	0	0	0
g6071	56	59	38	38	34	64	29	29
g6072	0	0	0	0	5	0	0	0
g6073	6	8	7	7	7	0	0	0
g6074	0	0	2	2	0	0	0	0
g6075	0	0	0	0	0	0	0	0
g6076	0	0	0	0	0	0	0	0
g6077	0	0	0	0	0	0	0	0
g6078	0	0	0	0	0	0	0	0
g6079	0	0	0	0	0	0	0	0
g608	0	18	10	10	5	7	8	8
g6080	0	0	0	0	0	0	0	0
g6081	0	0	0	0	0	0	0	0
g6082	0	0	0	0	0	0	0	0
g6083	0	0	0	0	0	0	0	0
g6084	0	0	0	0	0	0	0	0
g6085	0	0	0	0	0	0	0	0
g6086	0	0	0	0	0	0	0	0
g6087	0	0	0	0	0	0	0	0
g6088	0	0	0	0	0	0	0	0
